"0111145D UN Equity"
"0202445Q UN Equity"
"0203524D UN Equity"
"0226226D UN Equity"
"0544749D UN Equity"
"0598884D UQ Equity"
"0820143D UN Equity"
"0848680D UN Equity"
"0872237D UN Equity"
"0910150D US Equity"
"0943554D UN Equity"
"0948669D UN Equity"
"0961514D UN Equity"
"0964591D UQ Equity"
"1028411Q UN Equity"
"1051665D UN Equity"
"1086832D UN Equity"
"1255173D UN Equity"
"1255177D UN Equity"
"1281683D UN Equity"
"1284849D UN Equity"
"1288652D US Equity"
"1312089D UN Equity"
"1317355D UN Equity"
"134618Q UN Equity"
"140402Q UN Equity"
"1431816D UN Equity"
"1436513D UN Equity"
"1567Q UN Equity"
"162007Q UN Equity"
"1621582D UN Equity"
"1627457D UN Equity"
"1649858D UQ Equity"
"183291Q UN Equity"
"2196Q UN Equity"
"2200Q US Equity"
"2206Q UQ Equity"
"2223Q UN Equity"
"222435Q UN Equity"
"2251Q UN Equity"
"2269312Q UN Equity"
"2284Q UN Equity"
"228510Q UN Equity"
"2288005Q UN Equity"
"231079Q UN Equity"
"236555Q UN Equity"
"2428Q UN Equity"
"244630Q UQ Equity"
"2500Q UN Equity"
"253647Q UN Equity"
"2691Q UN Equity"
"2727195Q UN Equity"
"2731112Q UN Equity"
"2745Q UN Equity"
"2755Q UN Equity"
"2770014Q UN Equity"
"285939Q UN Equity"
"291784Q UN Equity"
"2942331Q UN Equity"
"2953349Q UN Equity"
"2968900Q UN Equity"
"2972Q UN Equity"
"297504Q UN Equity"
"2999130Q UN Equity"
"300583Q UN Equity"
"3022239Q UN Equity"
"3026360Q UN Equity"
"304024Q UN Equity"
"3054Q UN Equity"
"3075558Q UN Equity"
"3080867Q UN Equity"
"3179Q UN Equity"
"3253Q UN Equity"
"3277Q UN Equity"
"3286728Q UN Equity"
"329556Q UN Equity"
"3301Q UN Equity"
"3346Q UN Equity"
"3393199Q UN Equity"
"3403545Q UN Equity"
"3459Q UN Equity"
"3517233Q UN Equity"
"3546Q UN Equity"
"3605818Q UN Equity"
"3619382Q UN Equity"
"3621240Q UN Equity"
"363096Q UN Equity"
"3692470Q UN Equity"
"370506Q UN Equity"
"375573Q UN Equity"
"3891289Q UN Equity"
"390297Q UN Equity"
"399463Q UN Equity"
"41018Q US Equity"
"45200Q UN Equity"
"45861Q UN Equity"
"504369Q UN Equity"
"544791Q UN Equity"
"548227Q UN Equity"
"571300Q UN Equity"
"605555Q UN Equity"
"611647Q UN Equity"
"653707Q UN Equity"
"667517Q UN Equity"
"677004Q UN Equity"
"680884Q UN Equity"
"68335Q UN Equity"
"69895Q UN Equity"
"723588Q UN Equity"
"739306Q UN Equity"
"748957Q UN Equity"
"8214761Q UN Equity"
"827663Q UN Equity"
"841273Q UQ Equity"
"896661Q UN Equity"
"929530Q UN Equity"
"93916Q UN Equity"
"950967Q UN Equity"
"968734Q UN Equity"
"987200Q UN Equity"
"9876566D UN Equity"
"AA UN Equity"
"AAMRQ UN Equity"
"AAPL UQ Equity"
"ABT UN Equity"
"ABX UN Equity"
"ACKH UN Equity"
"ADBE UQ Equity"
"ADM UN Equity"
"ADP UN Equity"
"ADSK UQ Equity"
"AEE UN Equity"
"AEP UN Equity"
"AFS UN Equity"
"AIG UN Equity"
"ALL UN Equity"
"AMAT UQ Equity"
"AMD UN Equity"
"AMGN UQ Equity"
"ANDW UQ Equity"
"AON UN Equity"
"APA UN Equity"
"APC UN Equity"
"APD UN Equity"
"ARB UN Equity"
"AS UN Equity"
"ASH UN Equity"
"ATI UN Equity"
"AVP UN Equity"
"AVY UN Equity"
"AXP UN Equity"
"AZA UN Equity"
"AZO UN Equity"
"BA UN Equity"
"BAC UN Equity"
"BAX UN Equity"
"BBT UN Equity"
"BC UN Equity"
"BCR UN Equity"
"BDK UN Equity"
"BDX UN Equity"
"BEAM UN Equity"
"BEN UN Equity"
"BF/B UN Equity"
"BGG UN Equity"
"BHI UN Equity"
"BHMSQ UN Equity"
"BIG UN Equity"
"BK UN Equity"
"BKB UN Equity"
"BLL UN Equity"
"BLS UN Equity"
"BMG UN Equity"
"BMS UN Equity"
"BMY UN Equity"
"BNI UN Equity"
"BOL UN Equity"
"BSX UN Equity"
"C UN Equity"
"CA UN Equity"
"CAG UN Equity"
"CAH UN Equity"
"CAR UN Equity"
"CAT UN Equity"
"CBE UN Equity"
"CBS UA Equity"
"CCK UN Equity"
"CCTYQ UN Equity"
"CEG UN Equity"
"CFC UN Equity"
"CGP UN Equity"
"CI UN Equity"
"CIN UN Equity"
"CINF UQ Equity"
"CL UN Equity"
"CLX UN Equity"
"CMA UN Equity"
"CMCSK UQ Equity"
"CMI UN Equity"
"CNCEQ UN Equity"
"CNP UN Equity"
"CNRG UN Equity"
"COF UN Equity"
"COMS UQ Equity"
"COP UN Equity"
"COST UQ Equity"
"CPB UN Equity"
"CR UN Equity"
"CSC UN Equity"
"CSCO UQ Equity"
"CSX UN Equity"
"CTB UN Equity"
"CVS UN Equity"
"CVX UN Equity"
"D UN Equity"
"DALRQ UN Equity"
"DCNAQ UN Equity"
"DD UN Equity"
"DDS UN Equity"
"DE UN Equity"
"DELL UQ Equity"
"DIS UN Equity"
"DJ UN Equity"
"DLX UN Equity"
"DOV UN Equity"
"DOW UN Equity"
"DRI UN Equity"
"DTE UN Equity"
"DUK UN Equity"
"ECL UN Equity"
"ED UN Equity"
"EFX UN Equity"
"EHC UN Equity"
"EIX UN Equity"
"EKDKQ UN Equity"
"EMC UN Equity"
"EMN UN Equity"
"EMR UN Equity"
"ENRNQ UN Equity"
"ETN UN Equity"
"ETR UN Equity"
"ETS UN Equity"
"EXC UN Equity"
"F UN Equity"
"FBF UN Equity"
"FCX UN Equity"
"FDX UN Equity"
"FE UN Equity"
"FITB UQ Equity"
"FJ UN Equity"
"FL UN Equity"
"FLTWQ UN Equity"
"FMC UN Equity"
"FMCC UN Equity"
"FNMA UN Equity"
"FTLAQ US Equity"
"FWLT US Equity"
"GAPTQ UN Equity"
"GD UN Equity"
"GDT UN Equity"
"GDW UN Equity"
"GE UN Equity"
"GIS UN Equity"
"GLW UN Equity"
"GP UN Equity"
"GPC UN Equity"
"GPS UN Equity"
"GPUI UN Equity"
"GR UN Equity"
"GRA UN Equity"
"GT UN Equity"
"GTW UN Equity"
"GWW UN Equity"
"HAL UN Equity"
"HAS UN Equity"
"HBAN UQ Equity"
"HD UN Equity"
"HES UN Equity"
"HET UN Equity"
"HIG UN Equity"
"HM UN Equity"
"HNZ UN Equity"
"HON UN Equity"
"HP UN Equity"
"HPC US Equity"
